OrderID,ProductID,UnitPrice,Quantity,Discount
10248,11,14.0000,12,0
10248,42,9.8000,10,0
10248,72,34.8000,5,0
10249,14,18.6000,9,0
10249,51,42.4000,40,0
10250,41,7.7000,10,0
10250,51,42.4000,35,0.150000006
10250,65,16.8000,15,0.150000006
10251,22,16.8000,6,0.0500000007
10251,57,15.6000,15,0.0500000007
10251,65,16.8000,20,0
10252,20,64.8000,40,0.0500000007
10252,33,2.0000,25,0.0500000007
10252,60,27.2000,40,0
10253,31,10.0000,20,0
10253,39,14.4000,42,0
10253,49,16.0000,40,0
10254,24,3.6000,15,0.150000006
10254,55,19.2000,21,0.150000006
10254,74,8.0000,21,0
10255,2,15.2000,20,0
10255,16,13.9000,35,0
10255,36,15.2000,25,0
10255,59,44.0000,30,0
10256,53,26.2000,15,0
10256,77,10.4000,12,0
10257,27,35.1000,25,0
10257,39,14.4000,6,0
10257,77,10.4000,15,0
10258,2,15.2000,50,0.200000003
10258,5,17.0000,65,0.200000003
10258,32,25.6000,6,0.200000003
10259,21,8.0000,10,0
10259,37,20.8000,1,0
10260,41,7.7000,16,0.25
10260,57,15.6000,50,0
10260,62,39.4000,15,0.25
10260,70,12.0000,21,0.25
10261,21,8.0000,20,0
10261,35,14.4000,20,0
10262,5,17.0000,12,0.200000003
10262,7,24.0000,15,0
10262,56,30.4000,2,0
10263,16,13.9000,60,0.25
10263,24,3.6000,28,0
10263,30,20.7000,60,0.25
10263,74,8.0000,36,0.25
10264,2,15.2000,35,0
10264,41,7.7000,25,0.150000006
10265,17,31.2000,30,0
10265,70,12.0000,20,0
10266,12,30.4000,12,0.0500000007
10267,40,14.7000,50,0
10267,59,44.0000,70,0.150000006
10267,76,14.4000,15,0.150000006
10268,29,99.0000,10,0
10268,72,27.8000,4,0
10269,33,2.0000,60,0.0500000007
10269,72,27.8000,20,0.0500000007
10270,36,15.2000,30,0
10270,43,36.8000,25,0
10271,33,2.0000,24,0
10272,20,64.8000,6,0
10272,31,10.0000,40,0
10272,72,27.8000,24,0
10273,10,24.8000,24,0.0500000007
10273,31,10.0000,15,0.0500000007
10273,33,2.0000,20,0
10273,40,14.7000,60,0.0500000007
10273,76,14.4000,33,0.0500000007
10274,71,17.2000,20,0
10274,72,27.8000,7,0
10275,24,3.6000,12,0.0500000007
10275,59,44.0000,6,0.0500000007
10276,10,24.8000,15,0
10276,13,4.8000,10,0
10277,28,36.4000,20,0
10277,62,39.4000,12,0
10278,44,15.5000,16,0
10278,59,44.0000,15,0
10278,63,35.1000,8,0
10278,73,12.0000,25,0
10279,17,31.2000,15,0.25
10280,24,3.6000,12,0
10280,55,19.2000,20,0
10280,75,6.2000,30,0
10281,19,7.3000,1,0
10281,24,3.6000,6,0
10281,35,14.4000,4,0
10282,30,20.7000,6,0
10282,57,15.6000,2,0
10283,15,12.4000,20,0
10283,19,7.3000,18,0
10283,60,27.2000,35,0
10283,72,27.8000,3,0
10284,27,35.1000,15,0.25
10284,44,15.5000,21,0
10284,60,27.2000,20,0.25
10284,67,11.2000,5,0.25
10285,1,14.4000,45,0.200000003
10285,40,14.7000,40,0.200000003
10285,53,26.2000,36,0.200000003
10286,35,14.4000,100,0
10286,62,39.4000,40,0
10287,16,13.9000,40,0.150000006
10287,34,11.2000,20,0
10287,46,9.6000,15,0.150000006
10288,54,5.9000,10,0.100000001
10288,68,10.0000,3,0.100000001
10289,3,8.0000,30,0
10289,64,26.6000,9,0
10290,5,17.0000,20,0
10290,29,99.0000,15,0
10290,49,16.0000,15,0
10290,77,10.4000,10,0
10291,13,4.8000,20,0.100000001
10291,44,15.5000,24,0.100000001
10291,51,42.4000,2,0.100000001
10292,20,64.8000,20,0
10293,18,50.0000,12,0
10293,24,3.6000,10,0
10293,63,35.1000,5,0
10293,75,6.2000,6,0
10294,1,14.4000,18,0
10294,17,31.2000,15,0
10294,43,36.8000,15,0
10294,60,27.2000,21,0
10294,75,6.2000,6,0
10295,56,30.4000,4,0
10296,11,16.8000,12,0
10296,16,13.9000,30,0
10296,69,28.8000,15,0
10297,39,14.4000,60,0
10297,72,27.8000,20,0
10298,2,15.2000,40,0
10298,36,15.2000,40,0.25
10298,59,44.0000,30,0.25
10298,62,39.4000,15,0
10299,19,7.3000,15,0
10299,70,12.0000,20,0
10300,66,13.6000,30,0
10300,68,10.0000,20,0
10301,40,14.7000,10,0
10301,56,30.4000,20,0
10302,17,31.2000,40,0
10302,28,36.4000,28,0
10302,43,36.8000,12,0
10303,40,14.7000,40,0.100000001
10303,65,16.8000,30,0.100000001
10303,68,10.0000,15,0.100000001
10304,49,16.0000,30,0
10304,59,44.0000,10,0
10304,71,17.2000,2,0
10305,18,50.0000,25,0.100000001
10305,29,99.0000,25,0.100000001
10305,39,14.4000,30,0.100000001
10306,30,20.7000,10,0
10306,53,26.2000,10,0
10306,54,5.9000,5,0
10307,62,39.4000,10,0
10307,68,10.0000,3,0
10308,69,28.8000,1,0
10308,70,12.0000,5,0
10309,4,17.6000,20,0
10309,6,20.0000,30,0
10309,42,11.2000,2,0
10309,43,36.8000,20,0
10309,71,17.2000,3,0
10310,16,13.9000,10,0
10310,62,39.4000,5,0
10311,42,11.2000,6,0
10311,69,28.8000,7,0
10312,28,36.4000,4,0
10312,43,36.8000,24,0
10312,53,26.2000,20,0
10312,75,6.2000,10,0
10313,36,15.2000,12,0
10314,32,25.6000,40,0.100000001
10314,58,10.6000,30,0.100000001
10314,62,39.4000,25,0.100000001
10315,34,11.2000,14,0
10315,70,12.0000,30,0
10316,41,7.7000,10,0
10316,62,39.4000,70,0
10317,1,14.4000,20,0
10318,41,7.7000,20,0
10318,76,14.4000,6,0
10319,17,31.2000,8,0
10319,28,36.4000,14,0
10319,76,14.4000,30,0
10320,71,17.2000,30,0
10321,35,14.4000,10,0
10322,52,5.6000,20,0
10323,15,12.4000,5,0
10323,25,11.2000,4,0
10323,39,14.4000,4,0
10324,16,13.9000,21,0.150000006
10324,35,14.4000,70,0.150000006
10324,46,9.6000,30,0
10324,59,44.0000,40,0.150000006
10324,63,35.1000,80,0.150000006
10325,6,20.0000,6,0
10325,13,4.8000,12,0
10325,14,18.6000,9,0
10325,31,10.0000,4,0
10325,72,27.8000,40,0
10326,4,17.6000,24,0
10326,57,15.6000,16,0
10326,75,6.2000,50,0
10327,2,15.2000,25,0.200000003
10327,11,16.8000,50,0.200000003
10327,30,20.7000,35,0.200000003
10327,58,10.6000,30,0.200000003
10328,59,44.0000,9,0
10328,65,16.8000,40,0
10328,68,10.0000,10,0
10329,19,7.3000,10,0.0500000007
10329,30,20.7000,8,0.0500000007
10329,38,210.8000,20,0.0500000007
10329,56,30.4000,12,0.0500000007
10330,26,24.9000,50,0.150000006
10330,72,27.8000,25,0.150000006
10331,54,5.9000,15,0
10332,18,50.0000,40,0.200000003
10332,42,11.2000,10,0.200000003
10332,47,7.6000,16,0.200000003
10333,14,18.6000,10,0
10333,21,8.0000,10,0.100000001
10333,71,17.2000,40,0.100000001
10334,52,5.6000,8,0
10334,68,10.0000,10,0
10335,2,15.2000,7,0.200000003
10335,31,10.0000,25,0.200000003
10335,32,25.6000,6,0.200000003
10335,51,42.4000,48,0.200000003
10336,4,17.6000,18,0.100000001
10337,23,7.2000,40,0
10337,26,24.9000,24,0
10337,36,15.2000,20,0
10337,37,20.8000,28,0
10337,72,27.8000,25,0
10338,17,31.2000,20,0
10338,30,20.7000,15,0
10339,4,17.6000,10,0
10339,17,31.2000,70,0.0500000007
10339,62,39.4000,28,0
10340,18,50.0000,20,0.0500000007
10340,41,7.7000,12,0.0500000007
10340,43,36.8000,40,0.0500000007
10341,33,2.0000,8,0
10341,59,44.0000,9,0.150000006
10342,2,15.2000,24,0.200000003
10342,31,10.0000,56,0.200000003
10342,36,15.2000,40,0.200000003
10342,55,19.2000,40,0.200000003
10343,64,26.6000,50,0
10343,68,10.0000,4,0.0500000007
10343,76,14.4000,15,0
10344,4,17.6000,35,0
10344,8,32.0000,70,0.25
10345,8,32.0000,70,0
10345,19,7.3000,80,0
10345,42,11.2000,9,0
10346,17,31.2000,36,0.100000001
10346,56,30.4000,20,0
10347,25,11.2000,10,0
10347,39,14.4000,50,0.150000006
10347,40,14.7000,4,0
10347,75,6.2000,6,0.150000006
10348,1,14.4000,15,0.150000006
10348,23,7.2000,25,0
10349,54,5.9000,24,0
10350,50,13.0000,15,0.100000001
10350,69,28.8000,18,0.100000001
10351,38,210.8000,20,0.0500000007
10351,41,7.7000,13,0
10351,44,15.5000,77,0.0500000007
10351,65,16.8000,10,0.0500000007
10352,24,3.6000,10,0
10352,54,5.9000,20,0.150000006
10353,11,16.8000,12,0.200000003
10353,38,210.8000,50,0.200000003
10354,1,14.4000,12,0
10354,29,99.0000,4,0
10355,24,3.6000,25,0
10355,57,15.6000,25,0
10356,31,10.0000,30,0
10356,55,19.2000,12,0
10356,69,28.8000,20,0
10357,10,24.8000,30,0.200000003
10357,26,24.9000,16,0
10357,60,27.2000,8,0.200000003
10358,24,3.6000,10,0.0500000007
10358,34,11.2000,10,0.0500000007
10358,36,15.2000,20,0.0500000007
10359,16,13.9000,56,0.0500000007
10359,31,10.0000,70,0.0500000007
10359,60,27.2000,80,0.0500000007
10360,28,36.4000,30,0
10360,29,99.0000,35,0
10360,38,210.8000,10,0
10360,49,16.0000,35,0
10360,54,5.9000,28,0
10361,39,14.4000,54,0.100000001
10361,60,27.2000,55,0.100000001
10362,25,11.2000,50,0
10362,51,42.4000,20,0
10362,54,5.9000,24,0
10363,31,10.0000,20,0
10363,75,6.2000,12,0
10363,76,14.4000,12,0
10364,69,28.8000,30,0
10364,71,17.2000,5,0
10365,11,16.8000,24,0
10366,65,16.8000,5,0
10366,77,10.4000,5,0
10367,34,11.2000,36,0
10367,54,5.9000,18,0
10367,65,16.8000,15,0
10367,77,10.4000,7,0
10368,21,8.0000,5,0.100000001
